query_text,category
sweepers job municipal corporation,job_query
loading unloading work daily wage,job_query
warehouse labor job daily payment,job_query
farm worker job daily wages,job_query
packing job factory work nearby,job_query
textile mill job rural area,job_query
sugar mill job seasonal work,job_query
rice mill job worker needed,job_query
flour mill work available nearby,job_query
oil mill worker job seasonal,job_query
cotton picking job harvest season,job_query
mujhe tailoring seekhni hai koi free training hai kya,skill_query
skill india mein kaise register kare,skill_query
free computer course for rural youth near me,skill_query
iti admission ke liye kya documents chahiye,skill_query
pradhan mantri kaushal vikas yojana kaise join kare,skill_query
sewing machine training free gaon mein,skill_query
computer typing course near my village,skill_query
mobile repair training center nearby,skill_query
electrician course free training center,skill_query
plumbing course government institute,skill_query
carpentry training kaushal vikas,skill_query
welding training free institute,skill_query
beauty parlour training for women,skill_query
hair cutting styling course free,skill_query
cooking training hotel management,skill_query
baker training course institute,skill_query
handloom weaving training center,skill_query
pottery making course village,skill_query
bamboo craft training rural youth,skill_query
leather work training free,skill_query
paper quilling training home based,skill_query
candle making training small scale,skill_query
soap making training free course,skill_query
pickle making training women self help,skill_query
handicraft training rural artisans,skill_query
carpenter training apprenticeship nearby,skill_query
mason training construction skill,skill_query
painter decorator training course,skill_query
tiles fitting training job ready,skill_query
ac repair training institute nearby,skill_query
refrigerator repair course placement,skill_query
tv repair technician training,skill_query
laptop repair training course,skill_query
wifi router installation training,skill_query
solar panel installation training,skill_query
wind turbine technician course,skill_query
drone pilot training agriculture,skill_query
driving license training truck bus,skill_query
heavy vehicle driving course job,skill_query
two wheeler repair training center,skill_query
four wheeler mechanic training,skill_query
diesel mechanic training course,skill_query
tractor mechanic training center,skill_query
pump repair technician course,skill_query
generator mechanic training nearby,skill_query
bicycle repair training village,skill_query
shoe repair cobbler training course,skill_query
goldsmith training artisan course,skill_query
silversmith training traditional craft,skill_query
stone carving training artisan,skill_query
metal craft training rural craftsman,skill_query
wood carving training village artisan,skill_query
clay modelling training pottery,skill_query
block printing training textile,skill_query
tie dye training course free,skill_query
batik making training traditional art,skill_query
embroidery different states art training,skill_query
kantha stitch training west bengal,skill_query
chikankari embroidery lucknow course,skill_query
zardozi work training delhi,skill_query
bandhani tie dye gujarat training,skill_query
banarasi silk weaving training,skill_query
patola weaving patan training,skill_query
kalamkari hand paint training ap,skill_query
warli painting training maharashtra,skill_query
madhubani painting bihar course,skill_query
rangoli art training women self help,skill_query
meenakari work training craft,skill_query
kundan work training jewelry,skill_query
thewa work training rajasthan,skill_query
kinari work training lucknow,skill_query
zari work training mithila,skill_query
phulkari training punjab women,skill_query
kashmiri embroidery training course,skill_query
kashmir carpet weaving training,skill_query
sikkimese handicraft training youth,skill_query
naga tribal craft training,skill_query
bodo art weaving training assam,skill_query
mizo traditional craft training,skill_query
tribal jewelry making training,skill_query
bamboo basket weaving training,skill_query
coir work training kerala,skill_query
cashew processing training goa,skill_query
spice processing training karnataka,skill_query
food processing training institute,skill_query
packaging training industry ready,skill_query
digital marketing course rural youth,skill_query
social media training job placement,skill_query
online selling e commerce training,skill_query
gst filing training tax work,skill_query
tally accounting course placement,skill_query
ms office training job ready,skill_query
data entry operator training placement,skill_query
mujhe koi government scheme chahiye farming ke liye [variant 1],scheme_query
i am a farmer earning 5000 per month which scheme helps me [variant 2],scheme_query
pm kisan ka paisa kaise milega mujhe [variant 3],scheme_query
bpl card pe kya benefits milte hain [variant 4],scheme_query
hamari beti ke liye koi yojana hai kya [variant 5],scheme_query
garib log ke liye koi loan scheme hai kya [variant 6],scheme_query
which scheme gives free house to poor people [variant 7],scheme_query
kisan credit card kaise apply kare [variant 8],scheme_query
merei land ke liye koi subsidy hai [variant 9],scheme_query
gareeb family ke liye free treatment kaha se milega [variant 10],scheme_query
kya main pmegp ke liye apply kar sakta hoon [variant 11],scheme_query
agricultural loan ke liye kon sa bank jaldi dega [variant 12],scheme_query
kisan bima yojana ka form kahan se milega [variant 13],scheme_query
mistro yojana ke liye documents chahiye kya [variant 14],scheme_query
pradhan mantri awas yojana gramin apply online [variant 15],scheme_query
kya sc/st ke liye special scheme hai koi [variant 16],scheme_query
mahilaon ke liye free silai machine yojana [variant 17],scheme_query
old age pension ke liye apply kaise kare [variant 18],scheme_query
student scholarship ke liye kahan jana hai [variant 19],scheme_query
gareeb nagrik ke liye 100 din ka kaam [variant 20],scheme_query
mudra loan small business ke liye details [variant 21],scheme_query
deen dayal gram jyoti yojana free electricity [variant 22],scheme_query
jan arogya yojana hospital mein kaise milega [variant 23],scheme_query
maternity benefit yojana pregnancy mein [variant 24],scheme_query
sukanya samriddhi account beti ke liye [variant 25],scheme_query
upchar ke liye free dawai yojana [variant 26],scheme_query
rog vima yojana farmer ke liye [variant 27],scheme_query
rozgaar yojana naukri ke liye [variant 28],scheme_query
apna ghar apni yojana poor ke liye [variant 29],scheme_query
gau raksha yojana dairy farmer ke liye [variant 30],scheme_query
kisan panchyat yojana training ke liye [variant 31],scheme_query
